Establishment Name,English Synonyms,Arabic Synonyms,Cleansing Synonyms,
مطبخ ابوسمرة الماهر,Abu Samra Skilled Restaurant - Abu Samra Skilled Kitchen ,مطعم ابوسمرة الماهر - أبو سمره,,
مطعم الفرن الأصيل,There is  no Synonym available,There is  no Synonym available,,
مطبخ البادية,There is  no Synonym available,There is  no Synonym available,,
كافيتيريا محارة البحر العربية,Arabian Sea Shell Restaurant -Arabian Sea Shell Cafeteria,مطعم محارة البحر العربية ,,
كافيتريا فلافل التله,There is  no Synonym available,There is  no Synonym available,,
محل مشرف لخياطة وتطريز ملابس السيدات,There is  no Synonym available,المشرف للخياطة ,,
كافيتيريا ومطعم ساجدة,There is  no Synonym available,There is  no Synonym available,,
محلا الدار لتحضير الحلوى الشعبيه,Mohala Aldar Restaurant - Mohala Aldar cafeteria,مطعم محلا الدار - كافتيريا محلا الدار ,,
مركز شادي الدولي لطب وتقويم الأسنان,Shadi Dental Clinic ,عيادة شادي للاسنان ,,
كافيتريا الكشخة,There is  no Synonym available,There is  no Synonym available,,
مركز عروس الصحراء وسبا للسيدات,Arous Al Sahra Ladies Beauty Saloon,صالون عروس الصحراء للتجميل ,,
مطعم ابو فيصل,There is  no Synonym available,There is  no Synonym available,,
مركز علاج الطبي (ذ.م.م),There is  no Synonym available,There is  no Synonym available,مركز علاج الطبي ,
مطعم ارز لبنان - فرع مردف اب تاون,There is  no Synonym available,There is  no Synonym available,مطعم ارز لبنان ,
مركز فاين كير الطبي التخصصي,There is  no Synonym available,There is  no Synonym available,,
مطعم اطعمه الامارات,There is  no Synonym available,There is  no Synonym available,,
مركز كابول للتجارة,Kabool Toys Center  - kabul trading,مركز كابول للألعاب ,,
مطعم الاخطبوط,There is  no Synonym available,There is  no Synonym available,,
مركز كابول للتجارة والاستيراد,Kabool Toys Center ,مركز كابول للألعاب ,,
كافيتيريا المنافذ,There is  no Synonym available,There is  no Synonym available,,
مركز لايف لاين سليمينغ لكمال الأجسام (ذ.م.م ) - سليمينج - ليف,Life Line Gym- Life Line Fitness,نادي لايف لاين الصحي - لايف لاين جيم - مركز لياقة لايف لاين ,مركز لايف لاين سليمينغ لكمال الأجسام سليمينج ليف,
كواترو بلس للعناية بالسيارات,There is  no Synonym available,There is  no Synonym available,,
مركز لميس للسيدات,Lamis Beauty Saloon,صالون لميس للتجميل ,,
كافيتيريا المنهل,There is  no Synonym available,There is  no Synonym available,,
مركز ليجر,Leisure Center Restaurant,مطعم مركز ليجر ,,
مطعم البوغاز (ذ.م.م),There is  no Synonym available,There is  no Synonym available,مطعم البوغاز ,
مركز مبارك الطبي,There is  no Synonym available,There is  no Synonym available,,
كافيتريا النجوم السبعة,There is  no Synonym available,There is  no Synonym available,,
كافيتريا الارياف,There is  no Synonym available,There is  no Synonym available,,
كافيتيريا مينى شاورما,Mini Shawerma Restaurant,مطعم ميني شاورما ,,
مركز ميدكير للتاهيل والعلاج الطبيعي,There is  no Synonym available,مركز ميدكير للعلاج الطبيعي ,,
مطعم الخنيزي,There is  no Synonym available,There is  no Synonym available,,
مركز نايس الصحي للمساج للرجال ذ م م - فرع2,There is  no Synonym available,There is  no Synonym available,مركز نايس الصحي للمساج للرجال ,
مطعم الدجاج المقلي السريع,Rapid Fried Chicken cafeteria,كافتيريا الدجاج المقلي السريع,,
مان كيف انترنت كافيه (ذ.م.م),There is  no Synonym available,There is  no Synonym available,مان كيف انترنت كافيه ,
مطعم الدمياطي اكسبريس,Al Damyati Express cafeteria,كافتيريا الدمياطي اكسبريس ,,
مركز هيلث لاين الطبي - فرع بني ياس,There is  no Synonym available,There is  no Synonym available,مركز هيلث لاين الطبي ,
كافتيريا رحاب,There is  no Synonym available,There is  no Synonym available,,
كافيتريا الأزهار,There is  no Synonym available,There is  no Synonym available,,
كافيتريا الوحدة,There is  no Synonym available,There is  no Synonym available,,
كافتيريا سبيشال تي تايم,There is  no Synonym available,There is  no Synonym available,,
مخبز الندى الالي,There is  no Synonym available,There is  no Synonym available,,
كافتيريا شبكة الامارات,There is  no Synonym available,There is  no Synonym available,,
مطعم السراج,There is  no Synonym available,There is  no Synonym available,,
مستشفى الزهراء,There is  no Synonym available,There is  no Synonym available,,
مخبز ربيع لبنان,There is  no Synonym available,There is  no Synonym available,,
كافيتريا الجولان,There is  no Synonym available,There is  no Synonym available,,
كافيتريا خفايف,There is  no Synonym available,There is  no Synonym available,,
مجموعة جواد للمطاعم (ذ.م.م) - بابا جونز,There is  no Synonym available,There is  no Synonym available,مجموعة جواد للمطاعم بابا جونز,
مخبز صيدا,There is  no Synonym available,There is  no Synonym available,,
كافيتيريا الملاح,There is  no Synonym available,There is  no Synonym available,,
مخبز فور يو,There is  no Synonym available,There is  no Synonym available,,
مستشفى النور,Mediclinic Hospital - al noor hospital,مستشفى ميدكلينك ,,
مطعم الصين الساخن,There is  no Synonym available,There is  no Synonym available,مطعم الصين الساخن,
كافتيريا عمر كريش,There is  no Synonym available,There is  no Synonym available,,
مطعم الطبق الحجازي للمأكولات السعودية,There is  no Synonym available,There is  no Synonym available,,
كافيتيريا سعيد وهلان,There is  no Synonym available,There is  no Synonym available,,
مخبز وحلويات المنهل,There is  no Synonym available,There is  no Synonym available,,
كافيتريا مصباح المشرف,There is  no Synonym available,There is  no Synonym available,,
مخبز وحلويات انوار لبنان,There is  no Synonym available,There is  no Synonym available,,
مجوهرات احلى شيء,There is  no Synonym available,There is  no Synonym available,,
مديرية الشرطة والامن العام,Sharjah Police - Sharjah Police General Directorate,شرطة الشارقة - الإدارة العامة لشرطة الشارقة - المديرية ,,
كافيتيريا سويت اند سولتي (ذ.م.م),There is  no Synonym available,There is  no Synonym available,كافيتيريا سويت اند سولتي ,
كافيتريا صقر المزهر,There is  no Synonym available,There is  no Synonym available,كافيتريا صقر المزهر,
كافتيريا ومشاوي شام العز,Eiz Al Sham Restaurant & Grills ,مطعم ومشاوي شام العز,,
مطعم القصر الهندي,There is  no Synonym available,There is  no Synonym available,,
مركز ساحة ارض الغزلان للتسوق ذ م م - ديرفيلدز مول,There is  no Synonym available,There is  no Synonym available,مركز ساحة ارض الغزلان للتسوق ديرفيلدز مول,
كافيتيريا ومعجنات كرفت وعسل - كرافت,Craft & Honey Restaurant,مطعم  كرفت وعسل,كافيتيريا ومعجنات كرفت وعسل كرافت,
